year,diff,pred,path
1700,38,1738,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/218/SK-A-4704.jpeg
1764,85,1849,/home/liza/data/met-images/343/343223.jpg
1789,10,1799,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/191/RP-T-00-1740.jpeg
1832,52,1780,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/204/RP-T-1944-237C.jpeg
1922,81,1841,/home/liza/data/met-images/483/483670.jpg
1640,64,1704,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/216/SK-A-3112.jpeg
1715,6,1721,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/192/RP-T-00-3627.jpeg
1838,8,1846,/home/liza/data/met-images/10/10417.jpg
1773,44,1729,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/219/SK-C-586.jpeg
1827,30,1797,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/218/SK-A-4965.jpeg
1790,22,1768,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1971-38.jpeg
1641,74,1715,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/196/RP-T-1890-A-2263.jpeg
1700,113,1813,/home/liza/data/met-images/340/340420.jpg
1895,87,1808,/home/liza/data/met-images/12/12202.jpg
1842,52,1790,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/213/RP-T-1994-123.jpeg
1775,26,1801,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/194/RP-T-1886-A-591.jpeg
1812,36,1776,/home/liza/data/met-images/378/378047.jpg
1852,10,1842,/home/liza/data/met-images/11/11884.jpg
1480,254,1734,/home/liza/data/met-images/436/436032.jpg
1639,139,1778,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1888-A-1534.jpeg
1744,18,1762,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1900-A-4387.jpeg
1834,50,1784,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1979-320(V).jpeg
1575,224,1799,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/194/RP-T-1884-A-419.jpeg
1700,93,1793,/home/liza/data/met-images/343/343179.jpg
1520,131,1651,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/216/SK-A-2843.jpeg
1750,190,1560,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/218/SK-A-4533.jpeg
1789,29,1760,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/192/RP-T-00-2208.jpeg
1757,24,1781,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1921-197.jpeg
1833,56,1777,/home/liza/data/met-images/420/420451.jpg
1600,17,1583,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/219/SK-C-438.jpeg
1872,51,1821,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/203/RP-T-1939-129.jpeg
1645,32,1677,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/161/RP-P-OB-52.232X.jpeg
1824,13,1837,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1972-47.jpeg
1670,79,1591,/home/liza/data/met-images/338/338210.jpg
1826,10,1836,/home/liza/data/met-images/13/13099.jpg
1788,6,1782,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/208/RP-T-1959-505.jpeg
1713,54,1767,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1953-199(R).jpeg
1763,15,1748,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/208/RP-T-1959-91.jpeg
1786,16,1770,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/27/NG-1985-7-1-1.jpeg
1890,61,1829,/home/liza/data/met-images/14/14426.jpg
1781,4,1777,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/192/RP-T-00-2348.jpeg
1536,137,1673,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-552(R).jpeg
1656,101,1555,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/214/SK-A-1304.jpeg
1360,321,1681,/home/liza/data/met-images/359/359215.jpg
1834,8,1826,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/212/RP-T-1981-376.jpeg
1807,2,1809,/home/liza/data/met-images/334/334953.jpg
1730,47,1777,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1900-A-4405.jpeg
1700,63,1763,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/191/RP-T-00-1176.jpeg
1851,27,1824,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/212/RP-T-1982-103.jpeg
1746,7,1739,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/217/SK-A-3872.jpeg
1782,85,1697,/home/liza/data/met-images/373/373693.jpg
1767,32,1799,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1913-148.jpeg
1869,60,1809,/home/liza/data/met-images/11/11311.jpg
1876,100,1776,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/210/RP-T-1969-269.jpeg
1811,61,1750,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/207/RP-T-1954-369.jpeg
1876,65,1811,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/210/RP-T-1969-249.jpeg
1560,48,1608,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/217/SK-A-3986.jpeg
1840,12,1828,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/212/RP-T-1984-3.jpeg
1553,224,1777,/home/liza/data/met-images/340/340630.jpg
1830,59,1771,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/207/RP-T-1953-476.jpeg
1782,7,1775,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1951-406(R).jpeg
1600,144,1744,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-5.jpeg
1834,12,1822,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1980-118(R).jpeg
1850,116,1734,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/215/SK-A-1834.jpeg
1583,204,1787,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/194/RP-T-1884-A-332(R).jpeg
1911,108,1803,/home/liza/data/met-images/483/483668.jpg
1878,42,1836,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/217/SK-A-3680.jpeg
1864,40,1824,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/208/RP-T-1957-309.jpeg
1880,42,1838,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/205/RP-T-1949-233(V).jpeg
1792,45,1837,/home/liza/data/met-images/340/340455.jpg
1786,16,1770,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/210/RP-T-1964-70.jpeg
1700,101,1801,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/196/RP-T-1897-A-3331.jpeg
1835,27,1808,/home/liza/data/met-images/335/335382.jpg
1666,74,1740,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/196/RP-T-1898-A-3514.jpeg
1860,92,1768,/home/liza/data/met-images/339/339674.jpg
1863,50,1813,/home/liza/data/met-images/436/436018.jpg
1629,135,1764,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/192/RP-T-00-304.jpeg
1593,227,1820,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/194/RP-T-1884-A-333(R).jpeg
1780,20,1800,/home/liza/data/met-images/364/364026.jpg
1804,29,1833,/home/liza/data/met-images/459/459627.jpg
1636,142,1778,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1905-213.jpeg
1696,98,1794,/home/liza/data/met-images/339/339353.jpg
1806,87,1719,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/196/RP-T-1890-A-2332(R).jpeg
1778,16,1794,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-493-31B.jpeg
1653,99,1752,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/194/RP-T-1887-A-1222.jpeg
1788,8,1780,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-3783.jpeg
1710,16,1694,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/217/SK-A-4245.jpeg
1551,170,1721,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-666.jpeg
1596,125,1721,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-536.jpeg
1652,103,1755,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/207/RP-T-1956-35.jpeg
1535,102,1637,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/218/SK-A-743.jpeg
1889,38,1851,/home/liza/data/met-images/437/437838.jpg
1778,9,1787,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/28/NG-1985-7-2-43.jpeg
1825,26,1799,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/204/RP-T-1940-390.jpeg
1839,33,1806,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/219/SK-C-170.jpeg
1685,71,1756,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1905-32.jpeg
1340,26,1314,/home/liza/data/met-images/435/435607.jpg
1791,33,1758,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1951-156.jpeg
1652,109,1761,/home/liza/data/met-images/344/344929.jpg
1890,34,1856,/home/liza/data/met-images/15/15768.jpg
1781,14,1795,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/214/RP-T-FM-91.jpeg
1820,42,1778,/home/liza/data/met-images/336/336863.jpg
1876,106,1770,/home/liza/data/met-images/428/428618.jpg
1755,0,1755,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1918-25.jpeg
1831,59,1772,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1916-31.jpeg
1720,51,1771,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/191/RP-T-00-1287.jpeg
1603,211,1814,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1888-A-1449.jpeg
1751,33,1784,/home/liza/data/met-images/340/340820.jpg
1665,45,1710,/home/liza/data/met-images/376/376877.jpg
1909,60,1849,/home/liza/data/met-images/393/393609.jpg
1651,125,1776,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1887-A-921.jpeg
1758,22,1736,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/200/RP-T-1921-313.jpeg
1646,90,1736,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1899-A-4087.jpeg
1779,20,1759,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/212/RP-T-1988-165.jpeg
1651,140,1791,/home/liza/data/met-images/380/380399.jpg
1891,89,1802,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/209/RP-T-1960-705.jpeg
1600,92,1508,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/210/RP-T-1965-171.jpeg
1811,26,1837,/home/liza/data/met-images/12/12716.jpg
1882,13,1869,/home/liza/data/met-images/11/11021.jpg
1848,12,1836,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/214/RP-T-FM-83.jpeg
1866,75,1791,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1976-126.jpeg
1868,53,1815,/home/liza/data/met-images/436/436329.jpg
1825,21,1846,/home/liza/data/met-images/363/363486.jpg
1350,217,1567,/home/liza/data/met-images/44/44847.jpg
1752,21,1773,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1888-A-1656.jpeg
1821,3,1818,/home/liza/data/met-images/341/341074.jpg
1780,48,1732,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/203/RP-T-1933-32.jpeg
1905,131,1774,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/212/RP-T-1990-84.jpeg
1713,59,1772,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1953-200.jpeg
1911,385,1526,/home/liza/data/met-images/490/490060.jpg
1837,10,1827,/home/liza/data/met-images/401/401276.jpg
1549,0,1549,/home/liza/data/met-images/381/381950.jpg
1750,136,1614,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/218/SK-A-4531.jpeg
1924,107,1817,/home/liza/data/met-images/483/483156.jpg
1922,139,1783,/home/liza/data/met-images/17/17300.jpg
1733,144,1589,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/216/SK-A-264.jpeg
1540,65,1605,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/216/SK-A-3035.jpeg
1881,75,1806,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/204/RP-T-1941-71.jpeg
1828,14,1814,/home/liza/data/met-images/358/358959.jpg
1866,72,1794,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/40/RP-D-1996-1-78.jpeg
1841,19,1822,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/204/RP-T-1940-343.jpeg
1713,75,1788,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1918-417.jpeg
1795,50,1745,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1898-A-4060.jpeg
1872,90,1782,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/215/SK-A-2288.jpeg
1841,38,1803,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/217/SK-A-3701.jpeg
1889,28,1861,/home/liza/data/met-images/4/4838.jpg
1767,59,1826,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1913-107.jpeg
1780,39,1819,/home/liza/data/met-images/341/341819.jpg
1650,28,1622,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/217/SK-A-3858.jpeg
1628,21,1649,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/215/SK-A-1793.jpeg
1802,5,1807,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/207/RP-T-1953-314.jpeg
1815,26,1841,/home/liza/data/met-images/11/11240.jpg
1874,40,1834,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1980-200.jpeg
1854,15,1839,/home/liza/data/met-images/13/13253.jpg
1826,54,1772,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1904-163.jpeg
1924,176,1748,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1980-186.jpeg
1839,72,1767,/home/liza/data/met-images/10/10604.jpg
1643,69,1712,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/3/BI-1887-1463-126.jpeg
1861,32,1829,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/192/RP-T-00-2649.jpeg
1871,84,1787,/home/liza/data/met-images/11/11195.jpg
1600,153,1753,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/213/RP-T-1996-63.jpeg
1613,71,1684,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1887-A-859.jpeg
1653,90,1743,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1898-A-3761.jpeg
1598,63,1661,/home/liza/data/met-images/334/334747.jpg
1572,148,1720,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/207/RP-T-1953-4.jpeg
1871,141,1730,/home/liza/data/met-images/436/436482.jpg
1612,183,1795,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-66(R).jpeg
1911,54,1857,/home/liza/data/met-images/483/483379.jpg
1870,48,1822,/home/liza/data/met-images/12/12355.jpg
1666,121,1787,/home/liza/data/met-images/459/459083.jpg
1868,69,1799,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1911-32.jpeg
1923,62,1861,/home/liza/data/met-images/459/459268.jpg
1311,16,1295,/home/liza/data/met-images/437/437649.jpg
1824,31,1793,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/204/RP-T-1942-77.jpeg
1785,13,1798,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/28/NG-1985-7-1-35.jpeg
1575,130,1705,/home/liza/data/met-images/340/340615.jpg
1622,216,1838,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/218/SK-A-857.jpeg
1680,97,1777,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1912-31.jpeg
1774,6,1768,/home/liza/data/met-images/405/405752.jpg
1816,11,1827,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/213/RP-T-1999-114.jpeg
1850,158,1692,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/215/SK-A-1897.jpeg
1891,18,1873,/home/liza/data/met-images/12/12266.jpg
1631,119,1750,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1888-A-1797-25.jpeg
1840,26,1814,/home/liza/data/met-images/436/436177.jpg
1861,54,1807,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1950-408.jpeg
1575,102,1677,/home/liza/data/met-images/341/341789.jpg
1857,13,1844,/home/liza/data/met-images/362/362106.jpg
1899,74,1825,/home/liza/data/met-images/13/13065.jpg
1750,65,1815,/home/liza/data/met-images/389/389916.jpg
1652,103,1755,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/4/BI-1890-1952-22.jpeg
1778,86,1692,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/28/NG-1985-7-2-44.jpeg
1776,134,1642,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/218/SK-A-4933.jpeg
